Reacton,Reaction name,Equation,EC Number,GPR,deltaG,Keq,Subsytem
ICL,Isocitrate lyase,[c] icit --> glx succ,4.1.3.1,AceA (b4015) ,4.9,2.5901E-04,Anaplerotic reactions
PGM,phosphoglycerate mutase,[c] 2pg <==> 3pg,5.4.2.1,( YibO (b3612)  ) or ( GpmB (b4395)  ) or ( GpmA (b0755)  ),0.0,1.0000E+00,Glycolysis/Gluconeogenesis
PPS,phosphoenolpyruvate synthase,[c] atp h2o pyr --> amp (2)h pep pi,2.7.9.2,Ppsa (b1702) ,-1.2,7.5574E+00,Glycolysis/Gluconeogenesis
PYK,pyruvate kinase,[c] adp h pep --> atp pyr,2.7.1.40,( Pyka (b1854)  ) or ( Pykf (b1676)  ),-5.3,7.5765E+03,Glycolysis/Gluconeogenesis,,,,
TPI,triose-phosphate isomerase,[c] dhap <==> g3p,5.3.1.1,Tpi (b3919) ,1.4,9.4457E-02,Glycolysis/Gluconeogenesis,,,,
NH4t,ammonia reversible transport,nh4[e] <==> nh4[c],,( SPONTANEOUS (s0001)  ) or ( AmtB (b0451)  ),0.0,1.0000E+00,Inorganic Ion Transport and Metabolism,,,,
PIt2r,phosphate reversible transport via proton symport,h[e] pi[e] <==> h[c] pi[c],,( PitBec (b2987)  ) or ( PitA (b3493)  ),0.0,1.0000E+00,Inorganic Ion Transport and Metabolism,,,,
ADK1,adenylate kinase,[c] amp atp <==> (2)adp,2.7.4.3,Adk (b0474) ,-0.1,1.1836E+00,Oxidative Phosphorylation,,,,
ATPM,ATP maintenance requirement,[c] atp h2o --> adp h pi,,,-6.6,6.7770E+04,Oxidative Phosphorylation,,,,
ATPS4r,ATP synthase (four protons for one ATP),adp[c] (4)h[e] pi[c] <==> atp[c] (3)h[c] h2o[c],3.6.3.14,( AtpF0 ( b3736 and b3737 and b3738 )  and AtpF1 ( b3731 and b3732 and b3733 and b3734 and b3735 )  ) or ( AtpF0 ( b3736 and b3737 and b3738 )  and AtpF1 ( b3731 and b3732 and b3733 and b3734 and b3735 )  and AtpI (b3739)  ),6.6,1.4756E-05,Oxidative Phosphorylation,,,,
CYTBD,cytochrome oxidase bd (ubiquinol-8: 2 protons),(2)h[c] (0.5)o2[c] q8h2[c] --> (2)h[e] h2o[c] q8[c],,( CbdAB ( b0978 and b0979 )  ) or ( CydA ( b0733 and b0734 )  ),-37.2,1.6962E+27,Oxidative Phosphorylation,,,,
FRD7,fumarate reductase,[c] fum q8h2 --> q8 succ,1.3.99.1,Frd ( b4151 and b4152 and b4153 and b4154 ) ,5.9,4.80116E-05,Oxidative Phosphorylation,,,,
NADH16,NADH dehydrogenase (ubiquinone-8 & 3 protons),(4)h[c] nadh[c] q8[c] --> (3)h[e] nad[c] q8h2[c],1.6.5.3,Nuo ( b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288 ) ,-17.4,5.45E+12,Oxidative Phosphorylation,,,,
NADTRHD,NAD transhydrogenase,[c] nad nadph --> nadh nadp,1.6.1.2,( SthA (b3962)  ) or ( Pnt ( b1602 and b1603 )  ),-0.3,1.6580E+00,Oxidative Phosphorylation,,,,
SUCDi,succinate dehydrogenase (irreversible),[c] q8 succ --> fum q8h2,1.3.99.1,Sdh ( b0721 and b0722 and b0723 and b0724 ) ,-2.1,34.44673879,Oxidative Phosphorylation,,,,
THD2,NAD(P) transhydrogenase,(2)h[e] nadh[c] nadp[c] --> (2)h[c] nad[c] nadph[c],1.6.1.1,Pnt ( b1602 and b1603 ) ,0.3,6.0313E-01,Oxidative Phosphorylation,,,,
G6PDH2r,glucose 6-phosphate dehydrogenase,[c] g6p nadp <==> 6pgl h nadph,1.1.1.49,Zwf (b1852) ,-1.6,1.4831E+01,Pentose Phosphate Pathway,,,,
GND,phosphogluconate dehydrogenase,[c] 6pgc nadp --> co2 nadph ru5p-D,1.1.1.44,Gnd (b2029) ,0.9,2.1939E-01,Pentose Phosphate Pathway,,,,
PGL,6-phosphogluconolactonase,[c] 6pgl h2o --> 6pgc h,3.1.1.31,Pgl (b0767) ,-5.1,5.4085E+03,Pentose Phosphate Pathway,,,,
RPE,ribulose 5-phosphate 3-epimerase,[c] ru5p-D <==> xu5p-D,5.1.3.1,( Rpeec (b3386)  ) or ( SgcE (b4301)  ),0.0,1.0000E+00,Pentose Phosphate Pathway
RPI,ribose-5-phosphate isomerase,[c] r5p <==> ru5p-D,5.3.1.6,( RpiA (b2914)  ) or ( RpiB (b4090)  ),0.5,4.3054E-01,Pentose Phosphate Pathway
TALA,transaldolase,[c] g3p s7p <==> e4p f6p,2.2.1.2,( TalA (b2464)  ) or ( TalB (b0008)  ),-1.7,1.7553E+01,Pentose Phosphate Pathway
TKT1,transketolase,[c] r5p xu5p-D <==> g3p s7p,2.2.1.1,( TktA (b2935)  ) or ( TktB (b2465)  ),1.9,4.0667E-02,Pentose Phosphate Pathway
TKT2,transketolase,[c] e4p xu5p-D <==> f6p g3p,2.2.1.1,( TktA (b2935)  ) or ( TktB (b2465)  ),-1.7,1.7553E+01,Pentose Phosphate Pathway
ACALD,acetaldehyde dehydrogenase (acetylating),[c] acald coa nad <==> accoa h nadh,1.2.1.10,( MhpF (b0351)  ) or ( AdhE (b1241)  ),-4.4,1.66E+03,Pyruvate Metabolism
ACKr,acetate kinase,[c] ac atp <==> actp adp,2.7.2.1,( TdcD (b3115)  ) or ( AckA (b2296)  ) or ( PurT (b1849)  ),4.3,7.1204E-04,Pyruvate Metabolism
ALCD2x,alcohol dehydrogenase (ethanol),[c] etoh nad <==> acald h nadh,1.1.1.1,( FrmA (b0356)  ) or ( AdhP (b1478)  ) or ( AdhE (b1241)  ),6.0,4.06E-05,Pyruvate Metabolism
LDH_D,D-lactate dehydrogenase,[c] lac-D nad <==> h nadh pyr,1.1.1.28,( Dld (b2133)  ) or ( Ldh (b1380)  ),6.4,2.0671E-05,Pyruvate Metabolism
PFL,pyruvate formate lyase,[c] coa pyr --> accoa for,,( PflBec ( b0902 and b0903 )  and YfiD (b2579)  ) or ( PflBec ( b0902 and b0903 )  ) or ( TdcEec ( b0902 and b3114 )  ) or ( PflDec ( b3951 and b3952 )  ),-5.1,5.4085E+03,Pyruvate Metabolism
PTAr,phosphotransacetylase,[c] accoa pi <==> actp coa,2.3.1.8,( Pta (b2297)  ) or ( EutD (b2458)  ),3.8,1.6538E-03,Pyruvate Metabolism
ACALDt,acetaldehyde reversible transport,acald[e] <==> acald[c],,SPONTANEOUS (s0001) ,0.0,1.00E+00,Extracellular Transport
ACt2r,acetate reversible transport via proton symport,ac[e] h[e] <==> ac[c] h[c],,,0.0,1.0000E+00,Extracellular Transport
AKGt2r,2-oxoglutarate reversible transport via symport,akg[e] h[e] <==> akg[c] h[c],,KgtPec (b2587) ,0.0,1.0000E+00,Extracellular Transport
CO2t,CO2 transporter via diffusion,co2[e] <==> co2[c],,SPONTANEOUS (s0001) ,0.0,1.0000E+00,Extracellular Transport
D_LACt2,D-lactate transport via proton symport,h[e] lac-D[e] <==> h[c] lac-D[c],,( LldP (b3603)  ) or ( GlcA (b2975)  ),0.0,1.0000E+00,Extracellular Transport
ETOHt2r,ethanol reversible transport via proton symport,etoh[e] h[e] <==> etoh[c] h[c],,,0.0,1.0000E+00,Extracellular Transport
FORt2,formate transport via proton symport (uptake only),for[e] h[e] --> for[c] h[c],,( FocA (b0904)  ) or ( FocB (b2492)  ),0.0,1.00E+00,Extracellular Transport
FORti,formate transport via diffusion,for[c] --> for[e],,( FocA (b0904)  ) or ( FocB (b2492)  ),0.0,1.00E+00,Extracellular Transport
FRUpts2,Fructose transport via PEP:Pyr PTS (f6p generating),fru[e] pep[c] --> f6p[c] pyr[c],,( ManX (b1817)  and ManY (b1818)  and ManZ (b1819)  and PtsH (b2415)  and PtsI (b2416)  ),-9.1,4.58E+06,Extracellular Transport
FUMt2_2,Fumarate transport via proton symport (2 H),fum[e] (2)h[e] --> fum[c] (2)h[c],,DctA (b3528) ,0.0,1.0000E+00,Extracellular Transport
GLCpts,D-glucose transport via PEP:Pyr PTS,glc-D[e] pep[c] --> g6p[c] pyr[c],,( Crr (b2417)  and PtsG (b1101)  and PtsH (b2415)  and PtsI (b2416)  ) or ( ManX (b1817)  and ManY (b1818)  and ManZ (b1819)  and PtsH (b2415)  and PtsI (b2416)  ) or ( Crr (b2417)  and MalX (b1621)  and PtsH (b2415)  and PtsI (b2416)  ),-9.1,4.5812E+06,Extracellular Transport
GLNabc,L-glutamine transport via ABC system,atp[c] gln-L[e] h2o[c] --> adp[c] gln-L[c] h[c] pi[c],,( GlnHec (b0811)  and GlnPec (b0810)  and GlnQec (b0809)  ),-6.6,6.7770E+04,Extracellular Transport
GLUt2r,L-glutamate transport via proton symport reversible (periplasm),glu-L[e] h[e] <==> glu-L[c] h[c],,GltP (b4077) ,0.0,1.0000E+00,Extracellular Transport
H2Ot,H2O transport via diffusion,h2o[e] <==> h2o[c],,( AqpZ (b0875)  ) or ( SPONTANEOUS (s0001)  ),0.0,1.0000E+00,Extracellular Transport
MALt2_2,Malate transport via proton symport (2 H),(2)h[e] mal-L[e] --> (2)h[c] mal-L[c],,DctA (b3528) ,0.0,1.00E+00,Extracellular Transport
O2t,o2 transport via diffusion,o2[e] <==> o2[c],,SPONTANEOUS (s0001) ,0.0,1.0000E+00,Extracellular Transport
PYRt2r,pyruvate reversible transport via proton symport,h[e] pyr[e] <==> h[c] pyr[c],,,0.0,1.0000E+00,Extracellular Transport
SUCCt2_2,succinate transport via proton symport (2 H),(2)h[e] succ[e] --> (2)h[c] succ[c],,DctA (b3528) ,0.0,1.0000E+00,Extracellular Transport
SUCCt3,succinate transport out via proton antiport,h[e] succ[c] --> h[c] succ[e],,,0.0,1.0000E+00,Extracellular Transport
